"AIQ","HCI","SD","BF","EL","AGNT","MC","CTD","AH","E","ED"
32.3,1.0,16.2,BF05,001k,MC_AIXI,100,16,1,0.05,1.0
28.3,0.9,15.3,BF05,001k,MC_AIXI,100,16,1,0.1,1.0
27.2,0.8,13.6,BF05,001k,MC_AIXI,100,16,1,0.15,1.0
24.6,0.8,12.4,BF05,001k,MC_AIXI,100,16,1,0.2,1.0
35.2,1.3,20.2,BF05,001k,MC_AIXI,100,16,1,0.8,0.3
34.0,1.1,17.5,BF05,001k,MC_AIXI,100,16,1,0.8,0.6
36.3,1.2,20.1,BF05,001k,MC_AIXI,100,16,1,0.8,0.9
35.6,1.2,18.9,BF05,001k,MC_AIXI,100,16,1,0.8,0.95
33.8,1.0,15.9,BF05,001k,MC_AIXI,100,16,1,0.8,0.99
28.2,1.0,15.7,BF05,001k,MC_AIXI,100,16,1,0.8,0.995
32.7,1.1,18.4,BF05,001k,MC_AIXI,100,16,1,0.85,0.3
32.5,1.2,19.6,BF05,001k,MC_AIXI,100,16,1,0.85,0.6
34.8,1.1,18.1,BF05,001k,MC_AIXI,100,16,1,0.85,0.9
36.7,1.1,18.5,BF05,001k,MC_AIXI,100,16,1,0.85,0.95
34.3,1.0,16.1,BF05,001k,MC_AIXI,100,16,1,0.85,0.99
27.5,0.9,14.6,BF05,001k,MC_AIXI,100,16,1,0.85,0.995
32.7,1.1,17.8,BF05,001k,MC_AIXI,100,16,1,0.9,0.3
33.6,1.2,19.4,BF05,001k,MC_AIXI,100,16,1,0.9,0.6
34.8,1.2,18.6,BF05,001k,MC_AIXI,100,16,1,0.9,0.9
37.4,1.1,17.9,BF05,001k,MC_AIXI,100,16,1,0.9,0.95
33.3,1.1,17.3,BF05,001k,MC_AIXI,100,16,1,0.9,0.99
26.2,0.9,15.1,BF05,001k,MC_AIXI,100,16,1,0.9,0.995
33.0,1.2,18.7,BF05,001k,MC_AIXI,100,16,1,0.95,0.3
33.3,1.1,18.0,BF05,001k,MC_AIXI,100,16,1,0.95,0.6
34.4,1.1,18.3,BF05,001k,MC_AIXI,100,16,1,0.95,0.9
31.0,1.1,17.8,BF05,001k,MC_AIXI,100,16,1,0.95,0.95
34.9,1.0,16.7,BF05,001k,MC_AIXI,100,16,1,0.95,0.99
27.1,0.9,14.4,BF05,001k,MC_AIXI,100,16,1,0.95,0.995
38.3,1.1,17.9,BF05,001k,MC_AIXI,100,16,2,0.05,1.0
34.7,1.0,15.6,BF05,001k,MC_AIXI,100,16,2,0.1,1.0
33.1,1.0,16.4,BF05,001k,MC_AIXI,100,16,2,0.15,1.0
31.1,0.8,12.7,BF05,001k,MC_AIXI,100,16,2,0.2,1.0
36.5,1.2,19.8,BF05,001k,MC_AIXI,100,16,2,0.8,0.3
41.4,1.2,18.6,BF05,001k,MC_AIXI,100,16,2,0.8,0.6
43.3,1.1,18.5,BF05,001k,MC_AIXI,100,16,2,0.8,0.9
42.4,1.0,16.9,BF05,001k,MC_AIXI,100,16,2,0.8,0.95
40.6,1.0,16.9,BF05,001k,MC_AIXI,100,16,2,0.8,0.99
35.0,0.9,14.8,BF05,001k,MC_AIXI,100,16,2,0.8,0.995
42.4,1.2,19.9,BF05,001k,MC_AIXI,100,16,2,0.85,0.3
35.4,1.2,19.2,BF05,001k,MC_AIXI,100,16,2,0.85,0.6
42.1,1.1,18.1,BF05,001k,MC_AIXI,100,16,2,0.85,0.9
39.3,1.1,18.1,BF05,001k,MC_AIXI,100,16,2,0.85,0.95
39.4,1.1,17.7,BF05,001k,MC_AIXI,100,16,2,0.85,0.99
34.2,1.0,16.3,BF05,001k,MC_AIXI,100,16,2,0.85,0.995
42.4,1.2,20.1,BF05,001k,MC_AIXI,100,16,2,0.9,0.3
35.2,1.2,19.0,BF05,001k,MC_AIXI,100,16,2,0.9,0.6
41.9,1.1,18.3,BF05,001k,MC_AIXI,100,16,2,0.9,0.9
39.5,1.2,19.0,BF05,001k,MC_AIXI,100,16,2,0.9,0.95
37.9,1.1,17.2,BF05,001k,MC_AIXI,100,16,2,0.9,0.99
35.0,0.9,15.1,BF05,001k,MC_AIXI,100,16,2,0.9,0.995
42.7,1.1,18.1,BF05,001k,MC_AIXI,100,16,2,0.95,0.3
35.6,1.2,19.9,BF05,001k,MC_AIXI,100,16,2,0.95,0.6
42.2,1.2,19.0,BF05,001k,MC_AIXI,100,16,2,0.95,0.9
39.8,1.2,18.8,BF05,001k,MC_AIXI,100,16,2,0.95,0.95
37.1,1.1,17.4,BF05,001k,MC_AIXI,100,16,2,0.95,0.99
33.8,0.9,15.0,BF05,001k,MC_AIXI,100,16,2,0.95,0.995
36.9,1.0,15.8,BF05,001k,MC_AIXI,100,16,3,0.05,1.0
34.2,1.0,16.1,BF05,001k,MC_AIXI,100,16,3,0.1,1.0
31.4,0.9,14.1,BF05,001k,MC_AIXI,100,16,3,0.15,1.0
30.0,0.9,14.3,BF05,001k,MC_AIXI,100,16,3,0.2,1.0
40.0,1.2,19.8,BF05,001k,MC_AIXI,100,16,3,0.8,0.3
40.2,1.2,19.4,BF05,001k,MC_AIXI,100,16,3,0.8,0.6
41.1,1.1,18.5,BF05,001k,MC_AIXI,100,16,3,0.8,0.9
36.8,1.2,20.0,BF05,001k,MC_AIXI,100,16,3,0.8,0.95
35.4,1.0,16.7,BF05,001k,MC_AIXI,100,16,3,0.8,0.99
33.0,0.9,14.4,BF05,001k,MC_AIXI,100,16,3,0.8,0.995
38.3,1.2,18.7,BF05,001k,MC_AIXI,100,16,3,0.85,0.3
42.1,1.1,18.2,BF05,001k,MC_AIXI,100,16,3,0.85,0.6
39.9,1.2,19.1,BF05,001k,MC_AIXI,100,16,3,0.85,0.9
39.6,1.1,18.0,BF05,001k,MC_AIXI,100,16,3,0.85,0.95
34.3,1.2,19.5,BF05,001k,MC_AIXI,100,16,3,0.85,0.99
33.2,0.9,14.4,BF05,001k,MC_AIXI,100,16,3,0.85,0.995
37.5,1.2,18.8,BF05,001k,MC_AIXI,100,16,3,0.9,0.3
42.7,1.1,18.5,BF05,001k,MC_AIXI,100,16,3,0.9,0.6
39.8,1.2,18.8,BF05,001k,MC_AIXI,100,16,3,0.9,0.9
39.4,1.2,18.9,BF05,001k,MC_AIXI,100,16,3,0.9,0.95
37.9,1.1,17.8,BF05,001k,MC_AIXI,100,16,3,0.9,0.99
33.1,1.0,16.9,BF05,001k,MC_AIXI,100,16,3,0.9,0.995
38.1,1.1,18.5,BF05,001k,MC_AIXI,100,16,3,0.95,0.3
41.7,1.1,18.4,BF05,001k,MC_AIXI,100,16,3,0.95,0.6
39.4,1.2,19.5,BF05,001k,MC_AIXI,100,16,3,0.95,0.9
39.1,1.3,20.4,BF05,001k,MC_AIXI,100,16,3,0.95,0.95
36.1,1.1,17.2,BF05,001k,MC_AIXI,100,16,3,0.95,0.99
32.0,0.9,15.1,BF05,001k,MC_AIXI,100,16,3,0.95,0.995
35.1,1.1,17.5,BF05,001k,MC_AIXI,100,16,4,0.05,1.0
34.2,1.0,16.2,BF05,001k,MC_AIXI,100,16,4,0.1,1.0
31.4,0.9,13.7,BF05,001k,MC_AIXI,100,16,4,0.15,1.0
28.6,0.8,13.1,BF05,001k,MC_AIXI,100,16,4,0.2,1.0
37.4,1.2,18.9,BF05,001k,MC_AIXI,100,16,4,0.8,0.3
36.8,1.2,19.5,BF05,001k,MC_AIXI,100,16,4,0.8,0.6
39.3,1.3,20.7,BF05,001k,MC_AIXI,100,16,4,0.8,0.9
36.3,1.1,17.4,BF05,001k,MC_AIXI,100,16,4,0.8,0.95
35.2,1.0,16.6,BF05,001k,MC_AIXI,100,16,4,0.8,0.99
32.8,0.9,14.8,BF05,001k,MC_AIXI,100,16,4,0.8,0.995
38.1,1.1,18.5,BF05,001k,MC_AIXI,100,16,4,0.85,0.3
39.6,1.1,17.9,BF05,001k,MC_AIXI,100,16,4,0.85,0.6
