"AIQ","HCI","SD","BF","NAOS","EL","NI","AGNT"
37.4,0.5,23.1,BF10,10,1k,1000,Freq#1
38.5,0.5,23.1,BF10,10,1k,1000,Freq#2
38.9,0.4,22.2,BF10,10,1k,1000,Freq#3
38.9,0.4,21.8,BF10,10,1k,1000,Freq#4
39.0,0.4,21.5,BF10,10,1k,1000,Freq#5
42.2,0.5,23.3,BF10,10,1k,1000,H_l#1
44.5,0.4,22.8,BF10,10,1k,1000,H_l#2
44.3,0.4,22.6,BF10,10,1k,1000,H_l#3
37.9,0.5,23.1,BF10,10,1k,1000,H_l#4
34.3,0.5,23.1,BF10,10,1k,1000,H_l#5
33.6,1.0,16.7,BF10,10,1k,1000,MC_AIXI#1
35.0,1.1,17.7,BF10,10,1k,1000,MC_AIXI#2
28.0,1.1,17.7,BF10,10,1k,1000,MC_AIXI#3
26.4,1.0,16.0,BF10,10,1k,1000,MC_AIXI#4
27.2,0.9,14.2,BF10,10,1k,1000,MC_AIXI#5
38.8,0.4,21.1,BF10,10,1k,1000,Q_l#1
38.6,0.4,21.6,BF10,10,1k,1000,Q_l#2
36.5,0.4,22.2,BF10,10,1k,1000,Q_l#3
33.5,0.4,22.3,BF10,10,1k,1000,Q_l#4
31.9,0.4,22.8,BF10,10,1k,1000,Q_l#5
35.9,0.4,20.9,BF10,10,1k,1000,Q_0#1
35.4,0.4,21.4,BF10,10,1k,1000,Q_0#2
33.9,0.4,21.2,BF10,10,1k,1000,Q_0#3
30.4,0.4,21.4,BF10,10,1k,1000,Q_0#4
29.0,0.4,21.6,BF10,10,1k,1000,Q_0#5
44.2,0.5,23.4,BF10,10,10k,10000,Freq#1
45.7,0.4,22.9,BF10,10,10k,10000,Freq#2
46.0,0.4,22.8,BF10,10,10k,10000,Freq#3
46.4,0.4,22.4,BF10,10,10k,10000,Freq#4
45.9,0.4,22.0,BF10,10,10k,10000,Freq#5
53.0,0.5,24.2,BF10,10,10k,10000,H_l#1
51.2,0.5,23.1,BF10,10,10k,10000,H_l#2
52.6,0.5,23.4,BF10,10,10k,10000,H_l#3
52.1,0.5,24.9,BF10,10,10k,10000,H_l#4
49.1,0.5,25.5,BF10,10,10k,10000,H_l#5
47.6,1.4,22.2,BF10,10,10k,10000,MC_AIXI#1
47.5,1.5,23.5,BF10,10,10k,10000,MC_AIXI#2
47.1,1.4,23.3,BF10,10,10k,10000,MC_AIXI#3
47.0,1.3,21.8,BF10,10,10k,10000,MC_AIXI#4
41.4,1.2,18.7,BF10,10,10k,10000,MC_AIXI#5
47.3,0.4,21.6,BF10,10,10k,10000,Q_l#1
47.6,0.4,22.1,BF10,10,10k,10000,Q_l#2
47.7,0.5,23.3,BF10,10,10k,10000,Q_l#3
44.5,0.5,23.8,BF10,10,10k,10000,Q_l#4
38.8,0.5,23.4,BF10,10,10k,10000,Q_l#5
44.4,0.4,21.7,BF10,10,10k,10000,Q_0#1
45.4,0.4,21.8,BF10,10,10k,10000,Q_0#2
45.4,0.4,22.8,BF10,10,10k,10000,Q_0#3
42.1,0.5,23.6,BF10,10,10k,10000,Q_0#4
36.7,0.4,22.7,BF10,10,10k,10000,Q_0#5
49.6,0.5,24.3,BF10,10,100k,100000,Freq#1
50.1,0.5,24.2,BF10,10,100k,100000,Freq#2
49.7,0.5,23.8,BF10,10,100k,100000,Freq#3
49.4,0.5,23.2,BF10,10,100k,100000,Freq#4
48.4,0.4,22.9,BF10,10,100k,100000,Freq#5
55.3,0.5,24.4,BF10,10,100k,100000,H_l#1
52.5,0.4,22.8,BF10,10,100k,100000,H_l#2
54.0,0.5,23.4,BF10,10,100k,100000,H_l#3
55.9,0.5,25.2,BF10,10,100k,100000,H_l#4
55.4,0.5,25.7,BF10,10,100k,100000,H_l#5
48.2,1.3,21.1,BF10,10,100k,100000,MC_AIXI#1
49.4,1.6,25.9,BF10,10,100k,100000,MC_AIXI#2
49.6,1.5,23.7,BF10,10,100k,100000,MC_AIXI#3
51.4,1.6,25.4,BF10,10,100k,100000,MC_AIXI#4
45.8,1.3,21.5,BF10,10,100k,100000,MC_AIXI#5
49.3,0.4,22.1,BF10,10,100k,100000,Q_l#1
50.2,0.4,22.4,BF10,10,100k,100000,Q_l#2
51.9,0.5,23.4,BF10,10,100k,100000,Q_l#3
52.4,0.5,24.3,BF10,10,100k,100000,Q_l#4
51.0,0.5,25.1,BF10,10,100k,100000,Q_l#5
46.5,0.4,22.4,BF10,10,100k,100000,Q_0#1
48.2,0.4,23.0,BF10,10,100k,100000,Q_0#2
49.5,0.5,23.8,BF10,10,100k,100000,Q_0#3
51.1,0.5,24.0,BF10,10,100k,100000,Q_0#4
49.8,0.5,24.8,BF10,10,100k,100000,Q_0#5
40.9,0.5,23.1,BF10,10,3k,3000,Freq#1
42.0,0.4,22.9,BF10,10,3k,3000,Freq#2
42.8,0.4,22.4,BF10,10,3k,3000,Freq#3
42.9,0.4,21.9,BF10,10,3k,3000,Freq#4
43.1,0.4,21.2,BF10,10,3k,3000,Freq#5
48.9,0.5,24.2,BF10,10,3k,3000,H_l#1
48.9,0.4,22.9,BF10,10,3k,3000,H_l#2
49.6,0.5,23.3,BF10,10,3k,3000,H_l#3
45.6,0.5,24.2,BF10,10,3k,3000,H_l#4
41.7,0.5,24.0,BF10,10,3k,3000,H_l#5
42.6,1.3,20.8,BF10,10,3k,3000,MC_AIXI#1
43.1,1.3,20.9,BF10,10,3k,3000,MC_AIXI#2
39.6,1.3,20.4,BF10,10,3k,3000,MC_AIXI#3
36.5,1.3,21.1,BF10,10,3k,3000,MC_AIXI#4
33.7,1.0,16.8,BF10,10,3k,3000,MC_AIXI#5
43.7,0.4,21.5,BF10,10,3k,3000,Q_l#1
44.0,0.4,21.7,BF10,10,3k,3000,Q_l#2
42.4,0.4,22.6,BF10,10,3k,3000,Q_l#3
37.6,0.4,22.9,BF10,10,3k,3000,Q_l#4
34.0,0.4,22.8,BF10,10,3k,3000,Q_l#5
40.9,0.4,20.9,BF10,10,3k,3000,Q_0#1
40.9,0.4,21.7,BF10,10,3k,3000,Q_0#2
39.6,0.4,22.2,BF10,10,3k,3000,Q_0#3
35.2,0.4,22.2,BF10,10,3k,3000,Q_0#4
30.6,0.4,21.7,BF10,10,3k,3000,Q_0#5
47.1,0.5,23.5,BF10,10,30k,30000,Freq#1
48.4,0.5,23.3,BF10,10,30k,30000,Freq#2
48.3,0.5,23.1,BF10,10,30k,30000,Freq#3
48.0,0.4,22.9,BF10,10,30k,30000,Freq#4
47.4,0.4,22.4,BF10,10,30k,30000,Freq#5
54.8,0.5,24.4,BF10,10,30k,30000,H_l#1
52.1,0.4,22.9,BF10,10,30k,30000,H_l#2
53.9,0.5,23.3,BF10,10,30k,30000,H_l#3
54.8,0.5,25.0,BF10,10,30k,30000,H_l#4
53.5,0.5,25.5,BF10,10,30k,30000,H_l#5
49.4,1.4,23.1,BF10,10,30k,30000,MC_AIXI#1
49.2,1.5,24.2,BF10,10,30k,30000,MC_AIXI#2
49.6,1.5,24.9,BF10,10,30k,30000,MC_AIXI#3
51.8,1.5,24.5,BF10,10,30k,30000,MC_AIXI#4
44.2,1.2,20.0,BF10,10,30k,30000,MC_AIXI#5
48.6,0.4,21.7,BF10,10,30k,30000,Q_l#1
49.5,0.4,22.0,BF10,10,30k,30000,Q_l#2
50.9,0.5,23.2,BF10,10,30k,30000,Q_l#3
49.8,0.5,24.4,BF10,10,30k,30000,Q_l#4
45.7,0.5,24.7,BF10,10,30k,30000,Q_l#5
45.9,0.4,22.1,BF10,10,30k,30000,Q_0#1
47.5,0.4,22.2,BF10,10,30k,30000,Q_0#2
48.3,0.5,23.1,BF10,10,30k,30000,Q_0#3
47.9,0.5,23.9,BF10,10,30k,30000,Q_0#4
44.2,0.5,24.4,BF10,10,30k,30000,Q_0#5
35.7,0.4,21.8,BF20,20,1k,1000,Freq#1
36.1,0.4,21.4,BF20,20,1k,1000,Freq#2
37.0,0.4,20.9,BF20,20,1k,1000,Freq#3
37.0,0.4,20.7,BF20,20,1k,1000,Freq#4
37.2,0.4,20.0,BF20,20,1k,1000,Freq#5
38.6,0.4,21.7,BF20,20,1k,1000,H_l#1
40.5,0.4,21.8,BF20,20,1k,1000,H_l#2
40.1,0.4,21.4,BF20,20,1k,1000,H_l#3
34.5,0.4,21.1,BF20,20,1k,1000,H_l#4
30.8,0.4,21.2,BF20,20,1k,1000,H_l#5
11.7,0.7,11.9,BF20,20,1k,1000,MC_AIXI#1
27.2,0.9,14.4,BF20,20,1k,1000,MC_AIXI#2
10.7,0.8,12.5,BF20,20,1k,1000,MC_AIXI#3
21.0,0.6,10.0,BF20,20,1k,1000,MC_AIXI#4
21.4,0.7,11.8,BF20,20,1k,1000,MC_AIXI#5
35.2,0.4,20.0,BF20,20,1k,1000,Q_l#1
34.8,0.4,20.2,BF20,20,1k,1000,Q_l#2
32.6,0.4,20.3,BF20,20,1k,1000,Q_l#3
30.2,0.4,20.3,BF20,20,1k,1000,Q_l#4
29.6,0.4,21.0,BF20,20,1k,1000,Q_l#5
31.9,0.4,19.7,BF20,20,1k,1000,Q_0#1
31.2,0.4,19.9,BF20,20,1k,1000,Q_0#2
30.0,0.4,19.9,BF20,20,1k,1000,Q_0#3
27.5,0.4,19.3,BF20,20,1k,1000,Q_0#4
